Open,high,low,close,volume,UnixTime
241.003,283.000,205.700,239.400,24475363.3123,2018-01-11
239.000,268.985,230.010,248.000,12041189.2919,2018-01-12
248.000,255.000,235.000,246.600,5561533.0136,2018-01-13
246.600,246.880,220.302,230.480,6836568.0303,2018-01-14
229.801,239.889,193.000,198.170,11034145.2137,2018-01-15
199.300,210.000,50.000,139.899,61197835.2855,2018-01-16
139.100,180.000,100.000,153.550,72714611.6664,2018-01-17
153.550,198.000,140.000,182.084,49086059.2641,2018-01-18
182.491,194.499,172.100,178.000,37440748.9483,2018-01-19
178.001,190.000,160.000,180.401,21416967.8897,2018-01-20
180.401,180.569,153.000,160.000,34054975.3113,2018-01-21
160.001,163.799,130.000,151.000,42856502.3523,2018-01-22
150.000,159.200,132.066,152.900,42584649.8001,2018-01-23
152.520,160.000,143.005,148.432,33211764.3938,2018-01-24
148.959,151.498,145.000,146.000,11095528.0942,2018-01-25
146.001,146.400,110.000,126.800,59379816.8448,2018-01-26
126.800,141.000,126.000,136.104,22263719.1833,2018-01-27
136.399,149.000,129.880,147.480,21266874.7018,2018-01-28
147.220,147.490,137.000,139.000,20724196.0421,2018-01-29
139.000,139.800,117.005,119.016,42552917.0694,2018-01-30
119.016,124.890,104.000,123.980,43053109.6249,2018-01-31
123.990,124.000,98.383,101.430,59883761.7105,2018-02-01
101.430,109.568,66.000,96.902,145048027.3857,2018-02-02
96.739,109.000,84.119,102.800,86580441.1799,2018-02-03
102.800,103.100,88.160,89.699,51846242.9348,2018-02-04
89.699,91.500,71.301,72.990,75049805.9149,2018-02-05
72.984,87.000,61.030,85.400,138260565.5139,2018-02-06
85.027,89.100,75.111,78.987,81974641.1536,2018-02-07
78.518,86.500,78.509,85.010,50754983.8360,2018-02-08
85.010,107.000,82.400,106.790,84929199.4255,2018-02-09
106.610,148.000,103.000,112.795,151178449.8277,2018-02-10
112.507,114.300,98.000,107.500,87719300.0033,2018-02-11
107.497,117.445,107.300,117.000,51773022.3050,2018-02-12
117.000,117.489,105.100,108.388,48258490.7325,2018-02-13
108.301,122.000,107.000,119.250,39861767.0301,2018-02-14
